committee,cers_id,reports,type,amended_date,last_report,city,state,officer_1,officer_2,positions,2020_expenditures,num_2020_expenditures,2020_contributions,num_2020_contributions,cash_on_hand
Sheridan County Democratic Central Committee,5660,1,Disbanded Montana Party,08/08/16,NA,Outlook,MT,"Holte, Katherine","Nelson, Linda","Support: Promote Democratic values and Issues. Work with Candidates and the local Democratic Central Cmte to help elect Democratic Candidates., Support: Denise Juneau for U.S. House of Representatives, Support: Melissa Romano State Superintendent, Support: Steve Bullock - Governor, Support: Evelyn Carlisle for House District #34, Support: Monica Lindeen Secretary Of State, Support: Gretchen Ulrickson for Sheridan County Sheriff, Support: Jesse Laslovich – Auditor race",0.0,0,0.0,0,0.0
Montana State Afl-cio,5084,14,Incidental,01/27/17,NA,Helena,MT,"Ekblad, Alan D","Nyman, Quint","Support: Elect Melissa Romano, Support: Elect Governor Bullock, Oppose: Oppose Initiative 181",0.0,0,0.0,0,-98876.87
People For the American Way (PFAW) Action Fund,7866,1,Independent,01/24/19,NA,Washington,DC,"Ocampo, Lizet",,,0.0,0,10000.0,1,9820.0
Montana Young Guns,6101,20,Independent,12/26/16,NA,Billings,MT,"Selph, Kelly R",,Other: To elect and support Republican Candidates for Political Office,867.39,1,0.0,0,1721.52
Moulton Bellingham PC,7528,1,Incidental,08/30/18,NA,Billings,MT,"James, Doug",,,0.0,0,0.0,0,-1000.0
Helena Area Chamber of Commerce,6848,1,Incidental,11/28/17,NA,Helena,MT,"McLaughlin, John",,,0.0,0,0.0,0,-500.0
Montana Physical Therapy PAC (MT PT Pac),4818,10,Independent,12/21/16,NA,Missoula,MT,"McLean, Jim","Oss, Gail","Support: Montana Republican Legislative Campaign Committee, Support: Montana Democratic Party MDLCC, Support: Gordon Pierson for HD 78",0.0,0,0.0,0,1462.79
Ravalli County Republican Women,6884,1,Political Party,02/01/18,NA,Corvallis,MT,"Alford, Jane","Quast, Rosemary",,0.0,0,0.0,0,0.0
AFT Solidarity,5768,20,Incidental,06/01/20,NA,Washington,DC,"Johnson, Lorretta",,Other: To support Montana Independent Committees that make Independent Expenditures,8000.0,1,0.0,0,-463942.85
Hilltop Public Solutions,6307,1,Incidental,01/31/17,NA,Washington,DC,"Molly, Bell",,Support: In-kind donation of consulting services for I-181,0.0,0,0.0,0,-49730.0
"Golden Sunlight Mines, Inc.",7312,10,Incidental,03/04/19,NA,Whitehall,MT,"Bain, Nathan",,Oppose: 1-186,0.0,0,0.0,0,-1159869.14
