Candidate,Reporting Period,Report Type,Date Paid,Entity Name,First Name,Middle Initial,Last Name,Addr Line1,City,State,Zip,Zip4,Expenditure Type,Amount,Purpose,Election Type,Expenditure Paid Communications Platform,Expenditure Paid Communications Quantity,Expenditure Paid Communications Subject Matter
Montana Young Guns,08/02/2019 to 08/29/2019,C6,08/18/19,"Selph, William",,,,2347 Columbine Dr.,Billings,MT,59105,,All Other Expenditures,867.39,Event & Lodging,General,,,
AFT Solidarity,05/25/2020 to 06/25/2020,C4,06/04/20,Montana Federation of Public Employees,,,,1232 E 6th Ave,Helena,MT,59601,,All Other Expenditures,8000.0,Contribution to political committee,General,,,
AFT Solidarity,04/26/2020 to 05/24/2020,C4,05/17/20,Change Research,,,,"577 Howard St, 3rd Fl",San Francisco,CA,94105,,Independent Expenditure,5942.85,Survey of Montana voters regarding the gubernatorial election,Primary,Facebook and Instragram,"Survey of 2200 Montana voters, conducted May 15-17",Survey questions to determine favorability of candidates for governor 
Montana Dental PAC,05/25/2020 to 06/04/2020,C6,06/04/20,Arena Mail + Digital,,,,"170 South Main Street, 2nd Floor",Salt Lake City,UT,84101,,Independent Expenditure,1030.0,Digital Advertising,General,Google,duration 5/15/2020 - 6/2/2020,Gillette for HD 64
Montana Dental PAC,04/26/2020 to 05/05/2020,C6,05/05/20,Action Print,,,,110 W 13th St,Helena,MT,59601,,Independent Expenditure,1470.7,"Campaign postcards, color, from Wells Fargo Bank, (2,100 @ $0.23 ea) = $490 + postage for postcards, (2,100 @ $2.19 ea) = $980.70",General,postal,"2,100 campaign postcards",candidate background
Montana Dental PAC,01/01/2020 to 03/30/2020,C6,02/04/20,"Abbot, Kimberly",,,,523 E 6th Ave,Helena,MT,59601,,All Other Expenditures,180.0,Contribution,Primary,,,
Montana Dental PAC,01/01/2020 to 03/30/2020,C6,02/28/20,"Galt, Wylie",,,,69 71 Ranch Rd,Martinsdale,MT,59053,,All Other Expenditures,180.0,Contribution,Primary,,,
Montana Dental PAC,01/01/2020 to 03/30/2020,C6,01/07/20,"Harvey, Derek J",,,,P.O. Box 3111,Butte,MT,59701,,All Other Expenditures,180.0,Contribution,Primary,,,
Montana Dental PAC,01/01/2020 to 03/30/2020,C6,01/30/20,Montana Democratic Party,,,,P.O. Box 802,Helena,MT,59624,,All Other Expenditures,1000.0,Contribution,Primary,,,
Montana Dental PAC,01/01/2020 to 03/30/2020,C6,02/04/20,"Moore, Eric",,,,487 Signal Butte Road,Miles City,MT,59301,,All Other Expenditures,180.0,Contribution,Primary,,,
