Candidate,Reporting Period,Report Type,Date Paid,Entity Name,First Name,Middle Initial,Last Name,Addr Line1,City,State,Zip,Zip4,Expenditure Type,Amount,Purpose,Election Type,Expenditure Paid Communications Platform,Expenditure Paid Communications Quantity,Expenditure Paid Communications Subject Matter
4J's Casino,12/06/2019 to 12/31/2019,C4,12/06/19,Montana First Action,,,,PO Box 6404,Helena,MT,59604,,All Other Expenditures,500.0,To Support Conservative Candidates and Causes,Primary,,,
AFT Solidarity,05/25/2020 to 06/25/2020,C4,06/04/20,Montana Federation of Public Employees,,,,1232 E 6th Ave,Helena,MT,59601,,All Other Expenditures,8000.0,Contribution to political committee,General,,,
AFT Solidarity,09/27/2016 to 10/19/2016,C4,10/14/16,Build Montana PAC,,,,810 Hialeah,Helena,MT,59601,,All Other Expenditures,50000.0,Contribution,General,,,
AFT Solidarity,07/28/2016 to 08/27/2016,C4,08/23/16,Good Jobs Montana,,,,1633 Main Street Suite A-354,Billings,MT,59105,,All Other Expenditures,300000.0,Contribution,General,,,
AFT Solidarity,07/28/2016 to 08/27/2016,C4,08/25/16,MEA-MFT Ballot Issue Fund,,,,1232 E 6th Ave,Helena,MT,59601,,All Other Expenditures,100000.0,Contribution,General,,,
"American Civil Liberties Union, Inc.",05/14/2020 to 05/24/2020,C4,05/22/20,ACLU of Montana,,,,PO Box 13177 W 6th Ave,Helena,MT,59601,,All Other Expenditures,70000.0,Monetary contribution to an incidental committee,General,,,
"American Prosperity Group, Inc.",03/23/2020 to 04/25/2020,C4,04/09/20,Bulldog Compliance,,,,138 Conant Street 2nd Floor,Beverly,MA,01915,,All Other Expenditures,1000.0,Compliance Consulting,Primary,,,
"American Prosperity Group, Inc.",03/23/2020 to 04/25/2020,C4,03/27/20,Dickinson Wright PLLC,,,,"1825 Eye Street NW, Ste 900",Washington DC,DC,20006,,All Other Expenditures,2149.0,Legal Consulting,Primary,,,
BCBSMT 2020 Incidental Committee ,05/01/2020 to 05/22/2020,C4,05/22/20,Montana Business PAC (Chamber),,,,PO Box 1730,Helena,MT,59624,,All Other Expenditures,10000.0,Made contribution to PAC,Primary,,,
BCBSMT 2020 Incidental Committee ,04/30/2020 to 04/30/2020,C4,04/30/20,Montana Business PAC,,,,PO Box 1730,Helena,MT,59624,,All Other Expenditures,25000.0,Contribution to PAC,Primary,,,
BNSF Railway Company,04/27/2020 to 05/25/2020,C4,04/27/20,Montana Business PAC,,,,P.O. Box 1730,Helena,MT,59624,,All Other Expenditures,5000.0,Support of PAC,Primary,,,
Billings Clinic,06/22/2020 to 11/03/2020,C4,11/03/20,"Rise Up Billings, Billings Public Schools",,,,415 North 30th St.,Billings,MT,59101,,All Other Expenditures,1000.0,Check donation in support of School District 2 Mill Levy ,General,check,one,Support of mill levy
Bitterroot Public Library Levy Campaign,03/29/2020 to 05/30/2020,C6,05/06/20,Allegra,,,,"1151  N. First Street, Suite C",Hamilton,MT,59840,,All Other Expenditures,5679.03,"YARD & HIGHWAY SIGNS, Campaign post cards and postage",General,"Posters, Post cards","124 yard signs of 2 sizes; 10,000 postcards",Vote for Bitterroot Public Library Levy (yard signs); Reasons to vote for Public Library levy (postcards)
Bitterroot Public Library Levy Campaign,03/29/2020 to 05/30/2020,C6,05/26/20,"Darby, MaryAnn",,,,705 N. 8th St.,Hamilton,MT,59840,,All Other Expenditures,600.0,Radio ads on KLYQ Radio,General,Radio,70 radio spots from April 30 - May 15 of 30 second duration each.,Reasons to vote for Bitterroot Public Library Levy
Bitterroot Public Library Levy Campaign,03/29/2020 to 05/30/2020,C6,05/06/20,"Weide, Bruce",,,,500 Jorgy Way,Hamilton,MT,59840,,All Other Expenditures,1327.22,Reimbursement for newspaper ads in Bitterroot Star and Ravalli Republic,General,Newspaper,3 in Republic; 4 in Star plus in digital form of Ravalli Republic during May,Vote for your library levy
Bitterroot Public Library Levy Campaign,03/29/2020 to 05/30/2020,C6,05/26/20,"Yang, Vivian",,,,306 State Street,Hamilton,MT,59840,,All Other Expenditures,196.62,Reimbursement for posts and ties for campaign signs,General,Sign posts,35 wire posts; 3 packages of heavy duty ties,Vote for library levy
Blackford Carls P.C.,04/26/2020 to 05/24/2020,C4,05/13/20,Montana Law PAC,,,,PO Box 838,Helena,MT,59624,,All Other Expenditures,612.0,Contribution,General,,,
Bozeman Public Schools,04/01/2020 to 04/29/2020,C4,04/28/20,ALLEGRA PRINTINT,,,,39 SOUTH TRACY AVE,BOZEMAN,MT,59715,,All Other Expenditures,10134.0,Printing of Informational Brochures,General,PAPER MAILING,"26,852",INFORMATIONAL BROCHURE REGARDING SCHOOL ELECTION
Caron Corporation,11/22/2019 to 01/02/2020,C4,11/22/19,MHAPAC,,,,2625 Winne Ave.,Helena,MT,59601,,All Other Expenditures,4300.0,contribution to MHA PAC,General,,,
Central Valley Firefighters IAFF Local 4939,02/16/2020 to 03/04/2020,C6,03/04/20,Central Valley FIrefighters IAFF Local 4939,,,,215 Wings Way,Belgrade,MT,59714,,All Other Expenditures,2906.69,"Return of Funds to IAFF Local 4939, funds will no longer be used for political purposes.",General,,,
Central Valley Firefighters IAFF Local 4939,01/24/2020 to 02/15/2020,C6,02/13/20,"Insty Prints of Belgrade, Mitch R",,,,203 W. Madison,Belgrade,MT,59714,,All Other Expenditures,93.31,Flyers for Canvassing,General,,300 Flyers,Flyers supporting annexation of Belgrade into CVFD
Citizens Against Local Option Gas Tax,04/29/2020 to 05/29/2020,C6,05/27/20,Shynable Digital,,,,4576 Christian Drive,Missoula,MT,59803,,All Other Expenditures,5500.0,Digital Ads,Primary,digital ads,"online ads 5-7-20 - 5-22-20 550,000",vote not on local option fuel tax
Citizens Against Local Option Gas Tax,04/08/2020 to 04/28/2020,C6,04/17/20,Alpha Graphics,,,,1947 South Ave West,Missoula,MT,59801,,All Other Expenditures,3121.11,Yard Signs and Banners,Primary,printing,"250 yard signs, 20 banners",Vote no on local option fuel tax
Citizens for School Bond issue ,03/26/2020 to 04/25/2020,C6,04/07/20,Allegra Helena,,,,40 W. Lawrence Street,Helena,MT,59601,,All Other Expenditures,774.0,"100 yard signs  with stands stating: Vote ""yes"" for our Students",Primary,,100 yard signs,
Citizens for School Bond issue ,03/26/2020 to 04/25/2020,C6,03/30/20,Allegra Helena,,,,40 West Lawrence,Helena,MT,59601,,All Other Expenditures,375.0,5 - 4'x8' ft banners asking people to vote for school bond issue,Primary,,,
Citizens for School Bond issue ,03/26/2020 to 04/25/2020,C6,04/08/20,Broadwater Reporter,,,,Broadway Street,Townsend,MT,59644,,All Other Expenditures,145.0,"2 ads - Vote ""yes"" for our students on April 10th and April 17th, 2020",Primary,,2,
City of Bozeman,03/27/2020 to 04/18/2020,C4,03/27/20,"The Nest Collective, llc",,,,570 Prospector Trail,Bozeman,MT,59718,,All Other Expenditures,1700.0,Consultant time and outside expenses to create educational campaign *See attached invoice 293,Primary,N/A - See attached invoice.,N/A - See attached invoice,Educational materials regarding impact of passage or failure of the Parks & Trails District ballot issue.
City of Bozeman,03/02/2020 to 03/26/2020,C4,03/05/20,Allegra ,,,,39 South Tracy Avenue,Bozeman,MT,59715,,All Other Expenditures,461.42,"Printing cost for educational brochures, 12 inch by 9 inch white",Primary,not applicable,250 brochures,Description of impact of creation of special district - dedicated funding for parks and trails
City of Bozeman,03/02/2020 to 03/26/2020,C4,03/05/20,Allegra ,,,,39 South Tracy Avenue,Bozeman,MT,59715,,All Other Expenditures,419.64,"Printing cost for retractable banner - 34.4 x 85 inch, white",Primary,not applicable,4,Description of impact of creation of special district - dedicated funding for parks and trails 
City of Bozeman,03/02/2020 to 03/26/2020,C4,03/23/20,"The Nest Collective, llc",,,,570 Prospector Trail,Bozeman,MT,59718,,All Other Expenditures,3265.3,Consultant time and outside expenses to create educational campaign *See attached invoice 286,Primary,See attached invoice ,See attached invoice,See attached invoice
City of Bozeman,12/18/2019 to 03/01/2020,C4,02/11/20,"The Nest Collective, llc",,,,570 Prospector Trail,Bozeman,MT,59718,,All Other Expenditures,3208.75,Design consultant fees for educational effort. *See attached invoice #275 for details,Primary,,,
Coalition 406,07/01/2019 to 10/05/2019,C6,10/04/19,ActBlue ,,,,Online,Great Falls,MT,59405,,All Other Expenditures,6.92,3.95% Interest Rate on ActBlue Contributions ,General,,,
Coalition 406,07/01/2019 to 10/05/2019,C6,08/06/19,"Inside MT, LLC",,,,220 2nd Ave,Laurel,MT,59044,,All Other Expenditures,200.0,IT work,General,,,
Coalition 406,07/01/2019 to 10/05/2019,C6,07/25/19,"Inside MT, LLC",,,,220 2nd Ave,Laurel,MT,59044,,All Other Expenditures,400.0,IT work,General,,,
Coalition 406,07/01/2019 to 10/05/2019,C6,07/05/19,"Inside MT, LLC",,,,220 2nd Ave,Laurel,MT,59044,,All Other Expenditures,800.0,IT work,General,,,
