candidateName,chamber,district,partyDescr,gen_receipts,pri_receipts,tot_receipts,tot_expenditures,tot_cash_on_hand,reports_filed,last_report_end_date,scrape_date
"Scheidler, Amanda",House,39,Republican,0.0,810.0,810.0,537.45,272.55,3,05/15/2020,2020-05-21
"Scott, Catherine  M",Senate,40,Democrat,0.0,3350.0,3350.0,2778.2,571.8,5,05/17/2020,2020-05-21
"Olsen, Andrea",House,100,Democrat,0.0,855.0,855.0,48.75,806.25,3,05/14/2020,2020-05-21
"Warner, Michael  L",Senate,45,Republican,0.0,0.0,0.0,0.0,0.0,0,none,2020-05-21
"Browning, Gerry",House,12,Democrat,6811.0,0.0,6811.0,833.06,5977.94,3,05/15/2020,2020-05-21
"Walsh, Kenneth  M",House,71,Republican,0.0,7775.0,7775.0,5495.41,2279.59,5,05/15/2020,2020-05-21
"Torgerson, Jacob  B",Senate,40,Democrat,0.0,3186.2,3186.2,2201.09,985.11,5,05/17/2020,2020-05-21
"Patelis, James  G",House,52,Republican,9893.880000000001,5020.0,14913.880000000001,4466.68,10447.2,3,05/20/2020,2020-05-21
"FourStar, Kristofer  J",Senate,16,Democrat,0.0,0.0,0.0,0.0,0.0,3,05/15/2020,2020-05-21
"Lovick, Helena",House,26,Democrat,7314.5599999999995,0.0,7314.5599999999995,1550.1399999999999,5764.42,5,05/21/2020,2020-05-21
"Ladson, Zachary",House,46,Democrat,0.0,0.0,0.0,0.0,0.0,2,04/15/2020,2020-05-21
"Dooling, Julie  A",House,70,Republican,0.0,3905.0,3905.0,943.17,2961.83,6,05/18/2020,2020-05-21
"Powers, Debo  D",House,03,Democrat,0.0,10661.96,10661.96,3519.24,7142.72,4,05/14/2020,2020-05-21
"Lamb, John",Senate,36,Libertarian,410.0,15.0,425.0,0.0,425.0,3,05/20/2020,2020-05-21
"Duram, Neil  A",House,02,Republican,0.0,380.0,380.0,0.0,380.0,1,04/24/2020,2020-05-21
"Blom, Heather  M",House,77,Republican,0.0,0.0,0.0,0.0,0.0,0,none,2020-05-21
"Ramlow, Nicholas  R",House,07,Libertarian,0.0,0.0,0.0,0.0,0.0,2,04/27/2020,2020-05-21
"Jackson, Laura  M",House,85,Democrat,40.0,0.0,40.0,0.0,40.0,3,05/15/2020,2020-05-21
"Gist, Steve  C",House,25,Republican,880.0,0.0,880.0,119.55,760.45,3,05/15/2020,2020-05-21
"Tutvedt, Bruce  P",House,06,Republican,180.0,11855.0,12035.0,11115.18,919.82,3,05/14/2020,2020-05-21
"Magone, Diane  L",Senate,07,Democrat,0.0,2545.0,2545.0,358.98,2186.02,3,05/20/2020,2020-05-21
"Allen, Kenneth  E",House,86,Republican,0.0,0.0,0.0,0.0,0.0,2,04/20/2020,2020-05-21
"Rains, Matt",House,22,Democrat,0.0,1855.0,1855.0,546.0,1309.0,3,05/14/2020,2020-05-21
"Westlake, Debbie  R",House,82,Republican,150.0,0.0,150.0,78.06,71.94,2,04/20/2020,2020-05-21
"Fuller, John  D.",House,08,Republican,460.0,2334.84,2794.84,554.0699999999999,2240.77,5,05/15/2020,2020-05-21
"Fleming, Frank",House,51,Republican,4054.12,0.0,4054.12,1006.99,3047.13,3,05/14/2020,2020-05-21
